,Carrier_Code,Origin_Airport,Flight_Season,Flight_Month,Flight_Week,Flight_Day,Scheduled_Departure_Time,Actual_Departure_Time,Departure_Delay,Dep_Temp_3,Dep_Pressure_3,Dep_Humidity_3,Dep_Wind_Speed_3,Dep_Wind_Deg_3,Dep_Clouds_3,Dep_Rain_3,Airport_Abbr,Lat_N,Lng_W,GMT,Carrier_Abbr
157,8,222.0,2,5,17,2,19,20,34.0,0.0,-8.0,4.0,4,5.0,7.0,0.0,DEN,39.85,104.67,-7.0,UA
158,8,223.0,3,6,23,8,17,18,15.0,1.0,10.0,8.0,3,19.0,9.0,0.0,ATL,33.64,84.42,-5.0,UA
159,8,207.0,3,7,26,2,15,15,3.0,1.0,-6.0,9.0,1,17.0,7.0,0.0,EWR,40.68,74.17,-5.0,UA
160,8,222.0,3,8,34,29,15,15,15.0,0.0,7.0,7.0,2,6.0,7.0,0.0,DEN,39.85,104.67,-7.0,UA
161,8,222.0,2,5,19,16,13,13,-3.0,-2.0,2.0,8.0,2,21.0,2.0,0.0,DEN,39.85,104.67,-7.0,UA
162,8,207.0,2,5,17,2,18,18,16.0,0.0,-5.0,3.0,7,25.0,7.0,0.0,EWR,40.68,74.17,-5.0,UA
163,8,212.0,3,7,27,5,20,20,10.0,3.0,1.0,7.0,4,12.0,0.0,8.0,IAH,29.99,95.33,-6.0,UA
164,8,222.0,3,7,28,12,18,18,7.0,1.0,10.0,4.0,4,28.0,2.0,0.0,DEN,39.85,104.67,-7.0,UA
165,8,222.0,3,7,26,4,18,18,4.0,2.0,1.0,5.0,0,19.0,2.0,0.0,DEN,39.85,104.67,-7.0,UA
166,8,222.0,3,8,33,19,11,13,95.0,1.0,-5.0,5.0,3,31.0,7.0,0.0,DEN,39.85,104.67,-7.0,UA
167,8,161.0,3,6,25,24,7,7,7.0,1.0,9.0,6.0,3,8.0,2.0,0.0,CHS,32.89,80.03,-5.0,UA
168,8,222.0,3,7,27,7,18,18,4.0,1.0,6.0,6.0,2,22.0,2.0,0.0,DEN,39.85,104.67,-7.0,UA
169,8,222.0,1,2,8,26,18,17,-4.0,-5.0,-4.0,7.0,3,26.0,2.0,0.0,DEN,39.85,104.67,-7.0,UA
170,8,212.0,3,8,31,3,9,9,0.0,2.0,1.0,8.0,2,34.0,4.0,0.0,IAH,29.99,95.33,-6.0,UA
171,8,212.0,3,8,34,26,14,14,9.0,2.0,2.0,7.0,0,0.0,4.0,0.0,IAH,29.99,95.33,-6.0,UA
172,8,212.0,3,7,30,30,19,19,5.0,3.0,5.0,7.0,3,15.0,2.0,0.0,IAH,29.99,95.33,-6.0,UA
173,8,215.0,2,5,21,30,20,20,11.0,0.0,12.0,3.0,3,6.0,0.0,0.0,ORD,41.98,87.9,-6.0,UA
174,8,222.0,3,7,28,16,7,8,13.0,1.0,6.0,4.0,0,0.0,4.0,0.0,DEN,39.85,104.67,-7.0,UA
175,8,220.0,2,5,19,10,8,8,4.0,1.0,5.0,8.0,4,15.0,2.0,0.0,MCO,28.41,81.3,-5.0,UA
176,8,222.0,3,8,33,20,9,10,34.0,0.0,-4.0,8.0,3,14.0,4.0,0.0,DEN,39.85,104.67,-7.0,UA
177,8,219.0,2,3,11,21,14,14,12.0,-1.0,3.0,3.0,9,34.0,0.0,0.0,LAS,36.08,115.15,-8.0,UA
178,8,188.0,3,8,31,7,6,6,0.0,1.0,6.0,6.0,1,25.0,0.0,0.0,DCA,38.85,77.04,-5.0,UA
179,8,205.0,3,6,26,30,19,20,23.0,3.0,0.0,5.0,4,27.0,0.0,0.0,BOS,42.36,71.0,-5.0,UA
180,8,222.0,3,8,32,12,11,12,34.0,0.0,4.0,4.0,4,19.0,2.0,0.0,DEN,39.85,104.67,-7.0,UA
181,8,215.0,3,6,26,29,14,14,16.0,1.0,8.0,9.0,3,18.0,7.0,0.0,ORD,41.98,87.9,-6.0,UA
182,8,216.0,3,8,33,17,12,12,-1.0,-1.0,-1.0,7.0,3,16.0,9.0,0.0,SEA,47.45,122.3,-8.0,UA
183,8,204.0,2,4,16,24,9,9,21.0,-2.0,1.0,8.0,3,35.0,9.0,0.0,MSP,44.88,93.22,-6.0,UA
